,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,LST_Day_1km_1,LST_Day_1km_2,LST_Day_1km_3,LST_Day_1km_4,LST_Day_1km_5,Lai_1,Lai_2,Lai_3,Lai_4,Lai_5,Resultado
8492,0.48585757048567757,0.15554311871528625,0.4440271207882512,0.6401544660329819,0.5576222849388918,0.13236409063496163,0.1325005025702881,0.13119446829916317,0.13013985813158727,0.12952643519715112,0.15875,0.1106666666666667,0.12516129032258067,0.13133333333333333,0.13466666666666663,Negativo
8493,0.45352068776264787,0.43694937775532405,0.3796462437979156,0.48566961015264193,0.5262885163227717,0.1359029034203498,0.13814881824186553,0.13790843678870093,0.13405588581603053,0.13393297148272595,0.07437500000000001,0.08800000000000002,0.12903225806451613,0.146,0.16,Negativo
8494,0.45595720162964426,0.6712905655304591,0.5731657245947469,0.25574995515247184,0.4536942637215058,0.13001529249590765,0.12840871887654,0.1287037577435196,0.13016283277332646,0.129531030125499,0.12375000000000001,0.15866666666666665,0.15387096774193554,0.12200000000000004,0.11400000000000003,Negativo
8495,0.4256761756259948,0.4400993471344312,0.45536604812068326,0.35494968394438425,0.429054439564546,0.13504566210045663,0.13714942132621122,0.13692015663517842,0.13955371758421642,0.1362660463513397,0.12125,0.10000000000000003,0.08000000000000002,0.10800000000000004,0.152,Negativo
8496,0.6153235747478902,0.572471272945404,0.47868631088039687,0.3615927084504316,0.4208804935216904,0.12884681657620403,0.12894058183280202,0.1292423648688083,0.12885902185462797,0.12888199649636714,0.19875,0.14200000000000002,0.11870967741935483,0.13266666666666668,0.12466666666666665,Positivo
8497,0.519983263569884,0.34305761208136876,0.5037947897949526,0.5321954689919949,0.45793358037869136,0.13013267855604377,0.13105310014071972,0.13024954351795498,0.12925303696045487,0.12992274776715199,0.26625,0.06466666666666669,0.18322580645161288,0.18733333333333332,0.15999999999999998,Positivo
8498,0.5597378611564636,0.5152311240633328,0.4439943705595309,0.21147613860666753,0.5672338080902894,0.1338416472818127,0.13722294017977657,0.13614142744784152,0.13484965968811924,0.13077395824358864,0.12375000000000001,0.09200000000000001,0.12,0.09333333333333332,0.26666666666666666,Negativo
8499,0.5074078682810068,0.5348609770337741,0.480280312919809,0.44360957145690916,0.41305684596300124,0.13100822779357285,0.1345406507567273,0.1369473927024015,0.13489101404324977,0.13555612992159904,0.15875,0.13933333333333334,0.09612903225806452,0.12133333333333333,0.12466666666666672,Negativo
8500,0.7022114712744951,0.5569899289558331,0.4770981243420993,0.4837776442368825,0.47525555988152823,0.1317039286637374,0.13089457511271932,0.13056748291492618,0.13071767037132767,0.1303558197639355,0.2425,0.13533333333333328,0.18387096774193543,0.198,0.14800000000000002,Negativo
8501,0.6153235747478902,0.572471272945404,0.47868631088039687,0.3615927084504316,0.4208804935216904,0.12884681657620403,0.12894058183280202,0.1292423648688083,0.12885902185462797,0.12888199649636714,0.19875,0.14200000000000002,0.11870967741935483,0.13266666666666668,0.12466666666666665,Positivo
8502,0.6043586558662355,0.6275220240155855,0.5265335582437054,0.7113406588633855,0.6558174808820089,0.13111269061773068,0.13063151546480573,0.13161634942206735,0.1314206944085466,0.13118635306280693,0.265,0.23999999999999996,0.18129032258064523,0.26,0.1673333333333333,Negativo
8503,0.519983263569884,0.34305761208136876,0.5037947897949526,0.5321954689919949,0.45793358037869136,0.13013267855604377,0.13105310014071972,0.13024954351795498,0.12925303696045487,0.12992274776715199,0.26625,0.06466666666666669,0.18322580645161288,0.18733333333333332,0.15999999999999998,Positivo
