Latitud,Longitud
20.85201,-90.24919
20.85286,-88.92325
20.85293,-88.93378
20.85317,-90.26216
20.85498,-90.26168
20.85538,-90.20721
20.85539,-90.20721
20.85542,-89.3465
20.85595,-90.25643
20.85659,-88.95604
20.85734,-89.42568
20.85792,-89.41511
20.85887,-90.21552
20.85956,-90.23539
20.86085,-90.13628
20.86132,-88.11763
20.86244,-89.34489
20.86359,-88.96386
20.86403,-89.33215
20.86488,-88.96161
20.86752,-90.10231
20.86771,-88.97706
20.87065,-89.33632
20.8736,-89.33253
20.87402,-88.13049
20.87764,-89.44944
20.87972,-89.77071
20.88104,-89.45434
20.8826,-89.7642
20.88275,-90.02496
20.88441,-90.01687
20.88442,-90.01687
20.88638,-88.83642
20.88731,-89.7609
20.88782,-89.45434
20.88793,-88.90456
20.88843,-88.76526
20.88993,-88.83603
20.89115,-89.3628
20.89198,-89.44834
20.89205,-89.01313
20.89217,-87.98416
20.89236,-88.78362
20.89334,-88.99443
20.89361,-88.76526
20.89685,-90.0032
20.89737,-88.78534
20.89794,-89.43314
20.89798,-88.99638
20.89808,-90.0032
20.89808,-89.01274
20.89819,-88.77703
20.89821,-88.83514
20.89881,-88.7935
20.89896,-88.81062
20.89936,-88.82083
20.89982,-88.84038
20.90001,-88.90507
20.90049,-89.63938
20.9024,-88.81778
20.90254,-88.80226
20.90269,-89.00849
20.90289,-89.16385
20.90301,-88.78938
20.90335,-88.86044
20.90349,-88.81113
20.90422,-89.37599
20.90437,-88.83854
20.90449,-88.84795
20.90548,-89.02667
20.9055,-88.90692
20.9058,-89.15749
20.90664,-89.00262
20.90679,-89.04426
20.90685,-88.83556
20.90756,-88.86139
20.90798,-88.8211
20.90804,-88.84484
20.90915,-88.87099
20.90941,-88.90234
20.90983,-89.02426
20.90994,-88.8555
20.91152,-89.13772
20.91182,-89.12346
20.91276,-89.03903
20.91298,-88.89877
20.91386,-89.02337
20.91411,-88.85412
20.91532,-88.87639
20.91633,-89.1168
20.91647,-88.88177
20.91685,-88.94053
20.91719,-88.81629
20.91746,-89.0348
20.91751,-89.7184
20.91788,-88.90505
20.91801,-89.14638
20.91877,-89.61163
20.9192,-89.16478
20.91921,-88.95055
