,Latitud,Longitud
2160,20.9058,-89.15749
2161,20.9192,-89.16478
2162,21.09582,-89.20035
2163,21.08386,-88.14399
2164,20.99555,-89.67315
2165,21.01344,-89.68702
2166,21.08673,-89.16128
2167,20.88731,-89.7609
2168,20.98626,-89.70212
2169,21.18395,-88.16724
2170,21.17843,-88.53745
2171,21.43785,-88.51446
2172,21.30068,-88.12009
2173,21.32625,-88.83855
2174,21.47502,-88.479
2175,21.39095,-88.56688
2176,21.3767,-88.57759
2177,21.38521,-88.62457
2178,21.33318,-88.83081
2179,21.14439,-89.1095
2180,21.32166,-88.13268
2181,21.18117,-88.54527
2182,20.71332,-89.85512
2183,21.28076,-88.02071
2184,20.95373,-87.95882
2185,20.95317,-87.90784
2186,20.94702,-87.94153
2187,21.31313,-88.58897
2188,21.33646,-88.57339
2189,20.74209,-89.7226
2190,21.09927,-89.22738
2191,21.11362,-89.19614
2192,21.0867,-89.14709
2193,20.99013,-89.22445
2194,20.56152,-89.9633
2195,20.5598,-89.95639
2196,20.56614,-89.95267
2197,20.55465,-89.94743
2198,20.944,-87.953
2199,20.63319,-89.93115
2200,21.33166,-88.8366
2201,21.33414,-88.81693
2202,21.3445,-88.81407
2203,20.96136,-89.33024
2204,20.95856,-88.9034
2205,21.35161,-88.36787
2206,20.8826,-89.7642
2207,21.15032,-88.91972
2208,21.11122,-89.19675
2209,20.83007,-89.79291
2210,21.16582,-88.82012
2211,20.26621,-89.46044
2212,20.2663,-89.45165
2213,20.27635,-89.44631
2214,21.24793,-88.94376
2215,21.11209,-88.82883
2216,21.30679,-88.906
2217,21.27907,-88.91726
2218,21.19391,-88.72993
2219,21.16765,-88.70479
2220,21.24296,-88.83288
2221,21.19704,-88.78046
2222,21.14005,-88.87616
2223,21.12816,-88.8474
2224,21.2005,-88.84037
2225,21.15892,-89.07564
2226,21.17598,-88.56773
2227,20.27226,-89.44795
2228,21.14631,-88.70704
2229,21.16619,-88.8643
2230,21.09155,-88.89055
2231,21.08425,-88.88982
2232,21.17996,-88.85989
2233,21.158,-88.85436
2234,21.15264,-88.68016
2235,21.26906,-88.89877
2236,21.26062,-88.89388
2237,21.25345,-88.89877
2238,21.25263,-88.90186
2239,20.25119,-89.44457
2240,20.24563,-89.4384
2241,21.13761,-88.82186
2242,21.3497,-88.5147
2243,21.15612,-88.90429
2244,21.25508,-88.56643
2245,21.19737,-88.81489
2246,21.08628,-88.93079
2247,21.28247,-88.91509
2248,21.17816,-88.83185
2249,21.28417,-88.95048
2250,21.13402,-88.84991
2251,21.13632,-88.88531
2252,21.34459,-88.57013
2253,21.30208,-88.60982
2254,21.18954,-88.69227
2255,21.18459,-88.77687
2256,21.18941,-88.68106
2257,21.12002,-88.64652
2258,21.26511,-88.54625
2259,21.32911,-88.90091
2260,21.33803,-88.89864
2261,21.38177,-88.88219
2262,21.24967,-88.55378
2263,21.21717,-88.54059
2264,21.17649,-88.67805
2265,21.16217,-88.68012
2266,20.95195,-89.2966
2267,21.12442,-89.64367
2268,20.91751,-89.7184
2269,21.08163,-88.93085
2270,21.24527,-88.70098
2271,20.93677,-89.69424
2272,20.87972,-89.77071
2273,20.94472,-89.65267
2274,20.97377,-89.69087
2275,20.93462,-89.68981
2276,20.90049,-89.63938
2277,20.92261,-89.6076
2278,20.91877,-89.61163
2279,20.96518,-89.95314
2280,20.96792,-89.11321
